placeDcid,placeName,Median_Income_Person
geoId/11,District of Columbia,52328
geoId/24,Maryland,41516
geoId/34,New Jersey,39814
geoId/25,Massachusetts,39666
geoId/09,Connecticut,38865
geoId/53,Washington,37656
geoId/27,Minnesota,37320
geoId/33,New Hampshire,37025
geoId/08,Colorado,36934
geoId/51,Virginia,36895
geoId/15,Hawaii,36816
geoId/38,North Dakota,36316
geoId/36,New York,35379
geoId/02,Alaska,34881
geoId/10,Delaware,34513
geoId/17,Illinois,34489
geoId/44,Rhode Island,33799
geoId/06,California,33719
geoId/55,Wisconsin,33327
geoId/31,Nebraska,33127
geoId/56,Wyoming,33031
geoId/50,Vermont,32959
geoId/19,Iowa,32693
geoId/42,Pennsylvania,32156
geoId/41,Oregon,32071
geoId/46,South Dakota,31953
geoId/32,Nevada,31941
geoId/20,Kansas,31929
geoId/49,Utah,31855
geoId/48,Texas,31462
geoId/04,Arizona,31383
geoId/39,Ohio,31078
geoId/13,Georgia,30916
geoId/18,Indiana,30902
geoId/23,Maine,30850
geoId/26,Michigan,30723
geoId/29,Missouri,30662
geoId/37,North Carolina,30106
geoId/30,Montana,29817
geoId/12,Florida,29159
geoId/47,Tennessee,28995
geoId/40,Oklahoma,28944
geoId/16,Idaho,28757
geoId/45,South Carolina,28569
geoId/21,Kentucky,27503
geoId/22,Louisiana,27139
geoId/01,Alabama,27030
geoId/35,New Mexico,26599
geoId/05,Arkansas,26526
geoId/54,West Virginia,26187
geoId/28,Mississippi,25261
geoId/72,Puerto Rico,13814
